id,REF,Nome,"Descrição curta","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)",Preço,Categorias,Imagem1,Imagem2,Imagem3,Imagem4,Imagem5,Imagem6
680,Niver-20x20,"Lembrança de aniversário, caricatura, azulejo decorado","Presente mais que original!!",,,,,"90,00",Rostos,,http://atelielukabrasil.com.br/wp-content/uploads/2014/01/Suporte-Mesa.jpg,,,,
681,NIVER-BT,"Lembrança de aniversário, azulejo decorado","Presente que marcará para sempre!!",,,,,"90,00",Rostos,,,,,,
700,PS-Hidra,Hidra-20x20,"Cerâmica artística sob encomenda.",,,,,,"Piso personalizado",,,,,,
715,PS-Hibisco,Hibisco,"Cerâmica artística sob encomenda.",,,,,,"Piso personalizado",,,,,,
716,TZ1-10x10,Tozeto-10x10,"Cerâmica artística sob encomenda",,,,,,"Piso personalizado",http://atelielukabrasil.com.br/wp-content/uploads/2014/02/Tozeto_1.jpg,,,,,
717,"yin yang","Mandala yin yang","Cerâmica artística feita sob encomenda.",,,,,"235,00","Mandalas|Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/02/Painel-yin-yang.jpg,,,,,
719,PS-SIDRA-40x40,"Painel piso com flor","Cerâmica artística sob encomenda.",,,,,"220,00","Piso personalizado",http://atelielukabrasil.com.br/wp-content/uploads/2014/02/4_20x20.jpg,,,,,
720,PS-Hidra2,"Piso decorado sob encomenda","Cerâmica artística feita sob encomenda.",,,,,,"Piso personalizado",,,,,,
721,PS-ROSA-20x20,"Piso decorado sob encomenda","Piso cerâmico feito sob encomenda.",,,,,,"Piso personalizado",,,,,,
723,PS-Tozeto1-10x10,"Piso tozeto sob encomenda","Piso cerâmico feito sob encomenda.",,,,,,"Piso personalizado",,,,,,
724,PS-BORDA,"Piso sob encomenda","Piso cerâmico feito sob encomenda.",,,,,,"Piso personalizado",,,,,,
725,PS-HERAS,"Painel Heras","Piso cerâmico feito sob encomenda.",,,,,,"Piso personalizado",http://atelielukabrasil.com.br/wp-content/uploads/2014/02/Painel-Heras.jpg,,,,,
726,PS-LOTUS,"Cerâmica decorada sob encomenda","Piso cerâmico feito sob encomenda.",,,,,,"Piso personalizado",,,,,,
728,PS-Barra,"Cerâmica pra piso sob encomenda","Piso cerâmico produzido sob encomenda.",,,,,,"Piso personalizado",http://atelielukabrasil.com.br/wp-content/uploads/2014/02/Barrado_1.jpg,,,,,
801,"VALOR UNITÁRIO R$ 65,00","Pratos decorativos com imagens de peixes","Pratos modelados e pintados a mão, produto exclusivo.",,,,,"69,00","Pratos Decorativos",http://atelielukabrasil.com.br/wp-content/uploads/2014/04/Peixes.jpg,,,,,
846,Gaia_200,"Azulejo decorativo, azulejaria, cerâmica artística","Painel feito em azulejos, com pintura artesanal, para condomínio",,,,,,"Projetos especiáis",http://atelielukabrasil.com.br/wp-content/uploads/2014/05/60x60-cm.jpg,,,,,
848,Maternidade-22,"Enfeite pro quarto do bebee porta de maternidade","Enfeites para porta de maternidade e quarto de bebê",,,,,"105,00",Maternidade,http://atelielukabrasil.com.br/wp-content/uploads/2015/09/Tarsila.jpg,,,,,
864,Batista-90x120,"João Batista, batizado de Jesus Cristo","Painel com imagem de João Batista batizando Jesus Cristo, produzido em azulejos de 15x15 cm e pintado a mão com esmalte cerâmico.",,,,,,"Imagens Religiosas",http://atelielukabrasil.com.br/wp-content/uploads/2014/05/João-Batista-batizado-de-Jesus-1.jpg,,,,,
959,TEREZINHA,"Imagem de Sta. Terezinha","Painel em azulejo, pintura com esmalte cerâmico queimado a 1000 ºC",,,,,"357,00","Imagens Religiosas",http://atelielukabrasil.com.br/wp-content/uploads/2014/09/Sta_Terezinha.jpg,,,,,
975,Mater-Mine,"Enfeite pro quarto do bebe e porta de maternidade","Cerâmica decorativa produzida sob encomenda",,,,,"105,00",Maternidade,,,,,,
976,Bebe-Guto,"Enfeite pro quarto do bebe e porta de maternidade","Cerâmica esmaltada sob encomenda",,,,,"105,00",Maternidade,,,,,,
977,Galinha-22,"Enfeite pro quarto do bebe e porta de maternidade","Cerâmica faiança personalizada para quarto do bebe",,,,,"105,00",Maternidade,,,,,,
978,Alice-22,"Enfeite pro quarto do bebe e porta de maternidade","Cerâmica faiança personalizada para quarto do bebe",,,,,"105,00",Maternidade,,,,,,
979,Marcos-22,"Enfeite pro quarto do bebe e porta de maternidade","Cerâmica faiança personalizada para quarto do bebe",,,,,"105,00",Maternidade,,,,,,
980,Bia-22,"Beatriz bebe","Cerâmica faiança personalizada para quarto do bebe",,,,,"105,00",Maternidade,,,,,,
